abstract,title,year,journal,authors,base,exclusion_stage,exclusion reson,#ID
"In recent decades, France, Germany, Italy, and Spain-along with most industrial countries-witnessed a sharp rise in the size of government and a large accumulation of public debt. While the latter trend began to reverse under the constraints imposed by the Maastricht Treaty and the Stability and Growth Pact, public expenditure and debt remain high by international standards. These are well-recognized sources of concern to policymakers, especially as the rapid aging of the population increases spending on pensions and health care while reducing the labor force and therefore economic growth and the tax base. This paper studies the design of fiscal rules and frameworks, with particular reference to France, Germany, Italy, and Spain. In different ways, these countries face substantial public finance challenges over the next decade: high levels of outstanding public debt (Italy in particular), the consequences of a rapidly aging population for future social spending, and the need to ensure adequate scope for reduction of the still-high tax burden while maintaining an adequate level of public sector capital spending. This study argues that the four countries should place more emphasis on spending rules within the boundaries set by the Stability and Growth Pact. At present, fiscal frameworks are geared to achieving medium-term balances around zero. En route, annual deficits are meant to follow declining paths, as articulated in each country's Stability Program. This paper suggests that countries should maintain medium-term targets for the budget balance-or alternatively, the stock of public debt-geared to long-term policy objectives. But it points out that rigid adherence to annual deficit targets can impart a procyclical bias to fiscal policy through contractionary measures to buttress revenues in a downswing and a temptation to spend windfall tax receipts in an upswing.","rules-based fiscal policy in france, germany, italy, and spain",2003,IMF Occasional Papers,"Dában, T., Detragiache, E., di Bella, G., Milesi-Ferretti, G.M., Symansky, S.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",534
"This paper takes a fresh look at the trade-off between centralized and decentralized provision of local public goods. It argues that the sharing of the costs of local public spending in a centralized system will create a conflict of interest between citizens in different jurisdictions. When spending decisions are made by a legislature of locally elected representatives, this conflict of interest will play out in the legislature. Depending on precisely how the legislature behaves, the result may be excessive public spending or allocations of public goods characterized by uncertainty and misallocation across districts. The extent of the conflict of interest between districts is affected by spillovers and differences in tastes for public spending. Thus, the relative performance of centralized and decentralized systems depends upon spillovers and differences in tastes for public spending, but for different reasons than suggested in the existing literature. © 2003 Elsevier B.V. All rights reserved.",centralized versus decentralized provision of local public goods: a political economy approach,2003,Journal of Public Economics,"Besley, T., Coate, S.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",535
"This paper builds up a model for analysing regional attitudes towards separation from national states, where separation implies 'opting out' of the national income redistribution system and starting a regional one, while at the same time having direct access to supranational institutions. In an overlapping generations (OLG) framework, we show that interregional cooperation can perform the same task as intergenerational cooperation, and can prevent rich regions from wanting to separate from poor nations. In the second part of the paper, we estimate the impact of alternative institutional settings on regional welfare by using data on the inter-governmental financial relations of the Italian regions with the central government.",the political economy of regional opting out: distributive implications of a prospective europe of regions,2003,Economics of Governance,"Brosio, G., Revelli, F.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",536
"Forty-three of the fifty states of the United States have granted item veto authority to their governors as part of state constitutions. In this paper, I test explanations of why and when a legislature would cede institutional power. Using data from 1865 to 1994, I show that these measures are most likely proposed by fiscal conservatives who fear the loss of power in the future; in order to protect their interests for those periods when they will be in the minority, they implement institutions such as the item veto which will limit future, liberal legislatures. The results therefore shed light on two important substantive areas. First, by showing how the choice of budgetary institutions is endogenous to the political process, it clarifies that political factors must be considered in addition to social efficiency to understand the adoption of budget institutions. Second, it provides evidence in support of theories that have posited that electorally weak groups will heavily 'insulate' policies in periods in which they momentarily hold power (e.g. Moe, 1989; de Figueiredo, 2002). © 2003 Elsevier B.V. All rights reserved.",budget institutions and political insulation: why states adopt the item veto,2003,Journal of Public Economics,"de Figueiredo Jr., R.J.P.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",537
"Balassone and Franco note that while the budget rules that frame EMU apply to national States, several EMU member nations are already organised on a federal basis and others, pressed by political and economic needs, have started to enact reforms aimed at increasing the degree of decentralisation. They highlight several critical areas in the interaction of fiscal decentralisation and the Stability and Growth Pact. Balassone and Franco point to the reduced flexibility of the European approach compared with solutions adopted in federally structured countries and to the asymmetry between the responsibilities laid on national and local governments by European rules (compliance with the rules depends on the conduct of all levels of government, but de facto it is the central government that is answerable to the EU and that must pay the price for non-compliance). This calls for strict controls over local governments to prevent free-riding. The authors examine alternative solutions to deal with these problems, such as the mechanical extension of the Stability and Growth Pact, the introduction of a golden rule for decentralised governments, also in the form of a market for deficit permits, and the use of reserve funds. Finally, Balassone and Franco analyse how the issue has been addressed in Italy through the introduction of the Domestic Stability Pact and stress the need for further significant refinements of these domestic rules.",fiscal federalism and the stability and growth pact: a difficult union,2003,"Economic Welfare, International Business and Global Institutional Change","Balassone, F., Franco, D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",538
"We analyze a simple stochastic environment in which policy makers can be threatened by ""nasty"" interest groups. In the absence of these groups, the policy maker's desire for reelection guarantees that good policies are implemented for every realization of the shock. When pressure groups can harass the policy maker, good policies will be chosen for only a subset of states of nature. Hence, honest and able leaders might implement bad policies, and needed reforms could be delayed. In order to make good policies more likely, the public will want to increase the cost of exerting pressure for ""nasty groups"" and provide rents to those in power. This last result can be used to explain the existence of political parties. They play a role of resembling that of the supervisor in the literature on collusion in hierarchical agency. A rational public may also choose to ignore negative media reports on a politician's personal life and, in general, elect ""strong"" political leaders. The prevalence of coercive methods of influence helps explain why countries may get to be governed by ""inept politicians"".",capture by threat,2003,Journal of Political Economy,"Dal Bó, E., Di Tella, R.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",539
"Previous theoretical and empirical research has shown that policymakers have incentives to centralize government activities in order to weaken the competitive pressure of fiscal federalism. We argue that referendums reduce the possibilities for collusion among representatives and the ability of higher level policy-makers to attract additional responsibilities. Empirical results from panel data for Swiss cantons between 1980 to 1998 support this hypothesis. The centralization of government activity, measured by budgetary outcomes, is significantly reduced by a fiscal referendum. This holds in the case of public revenue and its components, but also for public expenditure, in particular public education spending.",government centralization in a referendum de- mocracy: evidence from switzerland [die zentralisierung der staatstätigkeit in einer referendumsdemokratie: evidenz aus der schweiz],2003,Politische Vierteljahresschrift,"Schaltegger, C.A., Feld, L.P.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",540
"This article revisits the influential ""Leviathan"" hypothesis, which posits that tax competition limits the growth of government spending in decentralized countries. I use panel data to examine the effect of fiscal decentralization over time within countries, attempting to distinguish between decentralization that is funded by intergovernmental transfers and local taxation. First, I explore the logic whereby decentralization should restrict government spending if state and local governments have wide-ranging authority to set the tax base and rate, especially on mobile assets. In countries where this is most clearly the case, decentralization is associated with smaller government. Second, consistent with theoretical arguments drawn from welfare economics and positive political economy, I show that governments grow faster as they fund a greater portion of public expenditures through intergovernmental transfers.",reviving leviathan: fiscal federalism and the growth of government,2003,International Organization,"Rodden, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",541
"This article tests the effect of an increase in the number of represented political parties and the size of the majority party on the size of government - proxied by central government expenditure as a percentage of GDP - in multiparty legislatures. The author argues that an increase in the number of represented parties leads to higher central government expenditure. Conversely, as the size of the majority party grows from a bare-minimum majority to above the supermajority level, it has a nonlinear, specifically ""cube"" effect on central government expenditure. Panel data on central government expenditure from 110 countries are used to test these arguments. The results corroborate the theoretical claims and are robust in regression models where fixed-effects were introduced and endogeneity was corrected. Finally, an increase in the number of represented parties leads to higher government spending on subsidies and transfers but to lower spending on public goods.",political parties and the size of government in multiparty legislatures: examining cross-country and panel data evidence,2003,Comparative Political Studies,"Mukherjee, B.",Scopus,Final,Paper was included,542
"Georgia's HOPE Scholarship is a merit-based aid program intended to provide educational resources for qualified Georgia residents who attend college within the state. The sole determinant of HOPE eligibility is high school grade point average (GPA), which may differ by school district (county). The subjective nature of GPAs gives localities the ability to increase the consumption of education subsidies by lowering academic standards. Consistent with this analysis, the authors find systematic differences in grade assignments across counties, and proxies for local interest group pressure for grade manipulation are associated with greater HOPE eligibility.",local lobbying for state grants: evidence from georgia's hope scholarship,2003,Public Finance Review,"Bradbury, J.C., Campbell, N.D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",543
"Correcting the relative lack of attention to the supply side of trade policy, this article addresses how political institutions channel societal demands for protection. I hypothesize that strong presidents with significant legislative powers and strong party leaders - empowered through electoral rules that rein in the personal vote - can help overcome protectionist biases. These arguments compare with two institutional alternatives: first, that protectionism should decrease as electoral district size grows because elections become more proportional; and second, that the collective-action problems in fragmented party systems thwart trade reform. I evaluate these hypotheses empirically using pooled time-series-cross-sectional data involving 18 developing countries from 1971 to 1997. I find that delegation to presidents and party leaders is significantly related to trade liberalization, and some evidence suggests that the effective number of parties and the size of electoral districts may also influence levels of protectionism.",supplying trade reform: political institutions and liberalization in middle-income presidential democracies,2003,American Journal of Political Science,"Nielson, D.L.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",544
"Recent research on federations, particularly in the developing world, emphasizes the importance of hard budget constraints and a strong central government to attenuate intergovernmental economic conflicts. Such research fails on two counts. First, it does not explain how hard budget constraints emerge or become self-enforcing. Second, it does not take into account the insight of the market-preserving federalism literature that central governments strong enough to impose restraint on regions are likely too powerful to be checked in a manner consistent with the long-term health of markets. Unfortunately, the market-preserving federalism literature itself provides little insight into how to move from a market-distorting to a market-preserving equilibrium. This article answers these theoretical shortcomings with reference to the evolution of political competition at the regional level and the representation of those regions at the national level. More specifically, whereas regional competition determines the subnational demand for soft budget constraints, the coalition of those regions at the national level determines the likelihood of their provision. Empirically, the research relies on a case study of the state debt crisis of the 1840s when the United States made a definitive movement toward market-preserving federalism.","bailouts, budget constraints, and leviathans comparative federalism and lessons from the early united states",2003,Comparative Political Studies,"Wibbels, E.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",545
"The ""Law of 1/n"" postulates a positive relationship between the number of democratically elected representative districts and government spending. Strong support for this relationship exists in legislatures in the United States (at both the state and national level) and across countries. Few studies have examined this relationship at the local level despite the fact that local governments operate under constraints similar to those faced by representative legislatures. Using a sample of Georgia counties we find the number of county commissioners to be positively correlated with county government expenditures, indicating support for the Law of 1/n at the local level.",local government structure and public expenditures,2003,Public Choice,"Bradbury, J.C., Stephenson, E.F.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",546
"We provide a definition of institutionalism and a schematic account that differentiates between institutional theories (in which institutions are exogenous) and theories of institutions, in which some (but not necessarily all) institutions are endogenous. Our primary argument is that institutionalism in the contemporary context is better characterized as a method than as a body of substantive work motivated by the so-called chaos problem. Secondary arguments include the following. (1) While it is important to differentiate sharply between institutions and behavior, institutionalism presupposes a well-defined behavioral concept. (2) When making the challenging transition from developing institutional theories to developing theories of institutions, it is essential to hold behavioral axioms fixed and to choose a form of equilibrium that exists for the class of games studied. (3) For most research programs today, a form of Nash equilibrium has the requisite properties while the core, and structure-induced equilibria (SIE) that rely on the core, often lack the requisite properties.",institutionalism as a methodology,2003,Journal of Theoretical Politics,"Diermeier, D., Krehbiel, K.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",547
"Government program allocations are more stable and more equally shared than theory predicts. Although various explanations have been offered, we emphasize the high transaction costs of political negotiations and coalition enforcement. Cycling predictions ignore the cost to politicians of repeatedly forming coalitions and neglect the opportunity costs of failed coalitions and the loss of related government programs that bring valuable constituent benefits. Because of these costs, Congress relies on coalitions larger than the minimum necessary to enact a program, adopts relatively egalitarian programmatic sharing rules, and resists efforts to change those allocations. To illustrate we analyze the Federal Highway Trust Fund.",transaction costs and coalition stability under majority rule,2003,Economic Inquiry,"Johnson, R.N., Libecap, G.D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",548
"Consider a public project that produces a consumption good that benefits future generations. Let a conventional cost-benefit analysis find that it gives higher benefits than projects it would displace in the private sector. Voters may, nevertheless, oppose the public project: the combination of a desire to control bequests and the lack of control over who benefits from a public project makes the public project unattractive. In contrast, private projects have owners, allowing parents to control whether their children will receive the benefits from such projects. Parents can, therefore, better influence the behavior of their children when they have the option of giving the children title to private projects. © 2002 Published by Elsevier Science B.V.","bequests, control rights, and cost-benefit analysis",2003,European Journal of Political Economy,"Glazer, A., Kanniainen, V., Niskanen, E.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",549
"We examine a large set of economic, sociopolitical, and institutional variables in a panel of 57 developed and developing countries over the period of 1970-1990 to derive robust conclusions about which variables are important in explaining cross-country differences in public sector deficits. Financial depth, income inequality, assassinations, cabinet size, and centralization of authority in budgetary decisions are found to be significant and robust determinants of public deficits. We also propose a working hypothesis and provide supporting econometric evidence: social polarization is important in explaining differences in fiscal outcomes across countries, yet its effects may be even more pronounced or suppressed, depending on the political and institutional structures through which social polarization is linked to the fiscal policy-making process. Indeed, effects on public deficits of the sociopolitical variables tend to be smaller in countries with better institutional arrangements. Conversely, the sociopolitical polarization has very strong effects on deficits in the presence of poor institutions. The results are confirmed by extensive robustness tests such as the sensitivity analysis and the robust estimation method. © 2001 Elsevier Science B.V. All rights reserved.","economic, political, and institutional determinants of public deficits",2003,Journal of Public Economics,"Woo, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",550
"This article examines state government spending patterns for capital projects during the late 1970s and early 1980s as a function of some of the institutional arrangements and procedural characteristics of state legislatures. The analysis is informed by the literature on distributive policymaking, which argues that lawmakers seek to send targetable benefits, such as capital projects, to their constituencies in pursuit of personal electoral benefits. Using a pooled, cross-sectional time-series approach, the authors find that states with a large number of seats in the lower chambers of their legislatures devoted a somewhat smaller portion of their state budgets to capital projects than did states with smaller lower chambers, ceteris paribus. Contrary to some log-rolling models, the number of appropriations bills employed by a legislature seems to discourage capital spending, as does membership turnover in the upper chamber. This indicates that the capital budgeting process is not nearly as dominated by the executive branch as is commonly believed. © 2003, Taylor & Francis Group, LLC.",an analysis of institutional and political factors affecting state capital expenditure,2003,International Journal of Public Administration,"Choudhury, E., Clingermayer, J.C., Dasse, C.M.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",551
"The Index of Fiscal Decentralisation (IFD) could be a very helpful quantitative instrument while radical changes in European organisation are just now coming. The IFD permits a comparison between fifteen European countries (including Switzerland). It is based on five variables indicative of the respective weights of central and local governments: how is allocated the total amount of fiscal revenues and spending, which level has the power to determine the tax base, the tax rates and types of taxation, as well as the way they are used, what is the possibility for taxpayers to control and to take legal proceedings at different levels? The results make clear that in most of the European countries (except Switzerland) the fiscal centralisation is high, and that there is wide deviation of the index. So the prospect of a fiscal harmonisation seems to be very weak in the short term. The paper leads to the concept of “fiscal coherence”: the worst situation is that of taxation designed and collected at one level, and of spending at another one. Hence actors in the fiscal system are irresponsible and taxpayers powerless. © 2003 by Berkeley Electronic Press and IES-Europe.",index of fiscal decentralisation: methodology and findings,2003,Journal des Economistes et des Etudes Humaines,"Price, V.C., Garello, J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",552
"Few issues are more contentious for local communities than industrial pollution. When local industries pollute, lawmakers and regulators must balance two primary concerns: economic prosperity and the environment. The role of political pressure is well documented in environmental policy. What is less clear is the role jurisdictional or boundary considerations play in determining the implementation of environmental laws. Anecdotal evidence suggests that local regulators are more lenient in their treatment of polluters when the incidence of pollution falls partially on those outside the state. One explanation for such behavior is that regulators take actions to maximize political support. This paper tests this jurisdictional model using toxics release inventory (TRI) data from 1987 to 1996. We find that facilities' emissions into the air and water are systematically higher in counties that border other states. These results are consistent with the hypothesis that jurisdictional considerations are an important determinant of pollution incidence. © 2003 Elsevier Inc. All rights reserved.",pollution incidence and political jurisdiction: evidence from the tri,2003,Journal of Environmental Economics and Management,"Helland, E., Whitford, A.B.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",553
"In any society characterized by diversity and specialization, each citizen - the butcher, the baker, the candlestick-maker - is a special interest on some dimensions of public policy and a member of the general public on many other dimensions. Each citizen enjoys being at the receiving end of special interest handouts even at the expense of inefficiencies imposed on general public. But relative to the status quo involving inefficient redistribution on most dimensions of public policy, including many dimensions on which the citizen is a member of the general public, the vast majority of citizens would surely be better off if the government did not cater to special interests at all. With this common interest in place, why do democratic societies have such a hard time ridding themselves of special interest politics? This article argues that the driving force underlying special interest politics is an information asymmetry: each citizen has a precise idea about the special interest handouts she is receiving and a vague idea about the price she is paying, as a member of the general public, for inefficient redistribution. I explain why special interest politics are ultimately impervious to reform (though we can tame them at the margin); I examine the trade-offs inherent in reform efforts (what it costs to tame them); and I spell out why special interest politics can be a Good Thing (why we should not tame them all the way even if we could).",representative government and special interest politics (we have met the enemy and he is us),2003,Journal of Theoretical Politics,"Lohmann, S.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",554
"In a federal context, policies have informational value for both the voters and politicians in other jurisdictions. In the presence of self-serving biases in the perceptions of the political agents, diversity of policies may have detrimental effects. Self-serving biases can make it more difficult to reach agreements between parties. This, in turn may lead to political instability and government weakness. On the other hand, disagreement might initiate discussion among politicians and among citizens. This may, in the end, lead to more democratic (tax) policy under representative government. We offer empirical evidence (based on a survey among 683 Flemish politicians) on the existence of self-serving biases in the perceptions of politicians at the municipal level of government. Higher tax rate variability among neighbouring municipalities leads members of the ruling (opposition) parties to classify a given tax rate as lower (higher) ceteris paribus. Further, there is evidence of different reference points being used by ruling and opposition politicians: those in power use the highest of neighbour's taxes whilst the opposition refers to the lowest.",self-serving bias in tax perceptions: federalism as a source of political instability,2003,Kyklos,"Heyndels, B., Ashworth, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",555
"The literature asserts that legislators are unlikely to adopt inefficient policies unanimously. Yet the systematic and unanimous increase in quantities of Total Allowable Catch, under the auspices of the Common Fisheries Policy (CFP), is inefficient by internationally recognized standards. This article develops a game of distributive politics to explain this puzzle. The game is based on the assumption that specialized Council formations are composed of preference outliers and behave like ‘runway institutions’. The article shows how, over a period of 16 years, ministers were significantly less concerned with environmental protection, were more supportive of (agri-)fishery issues, and were more right-wing than their governments. The article also tests the conservationist preferences of the European Commission. Finally, we map these preferences into the policy output of the CFP and show how the Council deals with problems created by its own decisions and by national implementation through the restraining of national authorities and delegation to the Commission. © 2003, Sage Publications. All rights reserved.","biased ministers, inefficiency, and control in distributive policies: an application to the eu fisheries policy",2003,European Union Politics,"Franchino, F., Rahming, A.J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",556
We expand Denzau and Munger's 1986 model of 'How Unorganized Interests Get Represented' to address cross-national differences in electoral systems. We look at how individual legislators allocate their efforts to serving unorganized constituents versus organized groups. Our model shows how the optimal allocation of effort is affected by differences in nominating processes and electoral rules. Our findings include the following: (1) Closed-list proportional representation (PR) makes legislators generally more responsive to interest groups and less responsive to unorganized voters than single-member districts (SMD). (2) This difference becomes smaller as the personal component of the SMD vote diminishes. (3) Legislators elected via lists in a mixed system may be even less responsive to the unorganized than legislators in a pure list system.,"a comparative theory of electoral incentives: representing the unorganized under pr, plurality and mixed-member electoral systems",2003,Journal of Theoretical Politics,"Bawn, K., Thies, M.F.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",557
"This paper is motivated by an important puzzle that arises from the contrasting macroeconomic experience across developing regions in the recent decades. In sharp contrast to East Asia, the fiscal policies in much of Latin America and sub-Saharan Africa are characterized by large fiscal deficits and volatilities of fiscal outcomes. In order to address both large deficits and volatile fiscal outcomes, we develop a simple model of endogenous fiscal policy in which government spending is strategically determined by heterogeneous policymakers in a dynamic game. In an economy that is highly polarized due to unequal income distribution, a larger fiscal deficit results, and the intertemporal fiscal policy path becomes more volatile. It is because the polarization of preference leads a policymaker representing each sector to spend more for her favorite sector, collectively contributing to large deficits. This polarization effect implies that a shock to tax revenue is translated into a more than proportional change in spending. Econometric evidence provides support for these predictions. Countries that have suffered from the greatest fiscal instability are those with highly polarized economic societies as measured by indicators of income inequality. © 2003 Elsevier B.V. All rights reserved.","social polarization, industrialization, and fiscal instability: theory and evidence",2003,Journal of Development Economics,"Woo, J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",558
"The fiscal constitution governs the federal system and thus the competition among member states. In Switzerland tax competence and spending decisions are highly decentralised. In order to make such as system operational an intergovernmental transfer system is needed. Today it does not work in a satisfactory manner, however. In particular, the autonomy of the cantons is in danger. Therefore, the federal government and the cantons have commonly decided to launch an ambitious reform programme. The so-called ""new fiscal equalisation system"" includes the decentralisation of public tasks, the reorganisation of the vertical and horizontal co-operation among jurisdictions and the equalisation of fiscal resources and burdens.",financial adjustments and federalism: federal organization and financial relations in switzerland [finanzausgleich und föderalismus: zur neugestaltung der föderalen finanzbeziehungen am beispiel de schweiz],2003,Perspektiven der Wirtschaftspolitik,"Schaltegger, C.A., Frey, R.L.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",559
"Whether and how governors influence public policies in the U.S. is open to question. This research tests a model of gubernatorial influence on public policymaking in which gubernatorial power is conceived of the governor's power over the budgetary process relative to that of the state legislature. We argue that governors with greater control over the budget process will use those powers to deliver a higher proportion of policies that confer benefits to statewide versus more localized constituencies. As governors' electoral security increases, their willingness to support legislatively desired localized spending increases. Empirical results derived from pooled cross-sectional models largely support the models tested.",do governors matter? budgeting rules and the politics of state policymaking,2003,Political Research Quarterly,"Barrilleaux, C., Berkman, M.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",560
"Yew-Kwang Ng looks to make welfare economics more complete by discussing the recent inframarginal analysis of division of labour and by pushing welfare economics from the level of preference to that of happiness, making a reformulation of the foundation of public policy necessary. A theory of the third best is provided, with extension to the equality/efficiency issue. The remarkable conclusion of treating a dollar as a dollar provides a powerful simplification of public policy formulation in general and in cost-benefit analysis in particular. © Yew-Kwang Ng 2004.",welfare economics: towards a more complete analysis,2003,Welfare Economics: Towards a More Complete Analysis,"Ng, Y.-K.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",561
"This book represents a considerable revision and expansion of Public Choice II (1989). As in the previous editions, all of the major topics of public choice are covered. These include: why the state exists, voting rules, federalism, the theory of clubs, two-party and multiparty electoral systems, rent seeking, bureaucracy, interest groups, dictatorship, the size of government, voter participation, and political business cycles. Normative issues in public choice are also examined. The book is suitable for upper level courses in economics dealing with politics, and political science courses emphasizing rational actor models. © Dennis C. Mueller 2003.",public choice iii,2003,Public Choice III,"Mueller, D.C.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",562
"This paper analyzes the welfare effects of term limits for state legislators. Legislators tend to pursue their own objectives and deviate from the interests of voters as they stay longer in office. However, such long-term incumbents become more productive in transferring wealth to their constituents due to seniority they gain, and voters re-elect the incumbent. Term limits reduce the maximum seniority of a district's legislator and of other districts' legislators as well, affecting the relative seniority of the legislator. Thus, the legislator gains relative seniority sometimes and loses other times under term limits. As a consequence, voters of a district may or may not benefit from term limits. The welfare effects of term limits depend crucially on the shape of the voters' utility function.",an analysis of welfare effects of legislative term limits,2002,Public Choice,"Lee, K.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",563
"This paper applies the theory of team production to the legislative process and tests the empirical implications of that theory using a unique state-level data set. Empirically testable hypotheses are derived from the theory, including predictions that free riding will increase as chamber (or majority) size increases, and that legislative institutions (such as committee structure and staffing levels) can mitigate free riding. The hypotheses are tested using a pooled state-level data set developed from the session laws of twenty-three state legislatures. The empirical results are consistent with the major hypotheses.",free riding in state legislatures,2002,Public Choice,"Rogers, J.R.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",564
"Political entrepreneurship occurs when an individual acts on a political profit opportunity. These profit opportunities can be divided into two categories: productive, and predatory. Productive opportunities enable entrepreneurs to profit from enhancing the efficiency of government, while predatory opportunities enable entrepreneurs to profit from forcibly transferring resources from some to others. This analysis shows that political institutions tend to favor predatory over productive political entrepreneurship, and shows that what is sometimes referred to as political exchange does not have the same efficiency characteristics as voluntary exchange in private markets. © 2002 Kluwer Academic Publishers.",political entrepreneurship and the democratic allocation of economic resources,2002,Review of Austrian Economics,"Holcombe, R.G.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",565
Book,chapter 39 public policy: its many analytical dimensions,2002,Handbook of Agricultural Economics,"Rausser, G.C., Goodhue, R.E.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",566
"Vertical fiscal imbalance, decentralized responsibility of spending with centralized financing, creates a common pool problem with spending pressure towards central funds. A model of decentralized government spending under vertical fiscal imbalance is developed, and the importance of national political characteristics for internalization of costs and spending level is investigated in an econometric analysis of Norway during 1880-1990. We argue that in a parliamentary democracy, the internalization of costs is influenced by the party fragmentation of parliament. This is confirmed by the econometric analysis using a Herfindahl index as a measure of fragmentation and political strength.","spending growth with vertical fiscal imbalance: decentralized government spending in norway, 1880-1990",2002,Economics and Politics,"Borge, L.-E., Rattsø, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",567
